SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE
2019,9,16,월,ARP1,ARP3,L,L1702,A,9:05,N,0.63943964
2019,9,16,월,ARP3,ARP1,L,L1702,D,7:55,N,0.73658794
2019,9,16,월,`,ARP3,L,L1720,A,14:40,N,0.6092973
2019,9,16,월,ARP3,ARP1,L,L1720,D,13:30,Y,0.36988544
2019,9,16,월,ARP4,ARP3,L,L1808,A,20:10,Y,0.39152765
2019,9,16,월,ARP3,ARP4,L,L1808,D,19:10,Y,0.4548148
2019,9,16,월,ARP3,ARP9,J,J1934,A,16:00,N,0.741252
2019,9,16,월,ARP9,ARP3,J,J1934,D,15:00,N,0.5191859
2019,9,16,월,ARP3,ARP1,L,L1703,A,8:10,N,0.5388801
2019,9,16,월,ARP1,ARP3,L,L1703,D,7:00,N,0.84738153
2019,9,16,월,ARP3,ARP4,L,L1809,A,20:35,Y,0.44077218
2019,9,16,월,ARP4,ARP3,L,L1809,D,19:35,Y,0.35933566
2019,9,16,월,ARP3,ARP1,L,L1731,A,19:20,N,0.6075549
2019,9,16,월,ARP1,ARP3,L,L1731,D,18:10,Y,0.34399176
2019,9,16,월,ARP9,ARP3,J,J1935,A,14:25,N,0.8849263
2019,9,16,월,ARP3,ARP1,L,L1705,A,9:25,N,0.63705957
2019,9,16,월,ARP1,ARP3,L,L1705,D,8:15,N,0.7273289
2019,9,16,월,ARP1,ARP3,L,L1732,A,21:05,Y,0.2430641
2019,9,16,월,ARP3,ARP1,L,L1732,D,19:55,Y,0.36094773
2019,9,16,월,ARP4,ARP3,L,L1810,A,22:10,Y,0.3754953
2019,9,16,월,ARP3,ARP4,L,L1810,D,21:10,Y,0.44315863
2019,9,16,월,ARP3,ARP9,J,J1935,D,13:25,N,0.55303764
2019,9,16,월,ARP3,ARP6,J,J1954,A,9:25,N,0.82992816
2019,9,16,월,ARP6,ARP3,J,J1954,D,8:20,N,0.65282595
2019,9,16,월,ARP1,ARP3,L,L1706,A,9:55,N,0.704011
2019,9,16,월,ARP3,ARP1,L,L1706,D,8:45,N,0.5989145
2019,9,16,월,ARP3,ARP1,L,L1733,A,19:35,N,0.58516943
2019,9,16,월,ARP1,ARP3,L,L1733,D,18:25,Y,0.34037268
2019,9,16,월,ARP3,ARP8,L,L1901,A,10:25,N,0.7098549
2019,9,16,월,ARP8,ARP3,L,L1901,D,9:30,N,0.79681355
2019,9,16,월,ARP6,ARP3,J,J1955,A,11:10,N,0.77834785
2019,9,16,월,ARP3,ARP1,L,L1707,A,10:55,N,0.6208739
2019,9,16,월,ARP1,ARP3,L,L1707,D,9:45,N,0.7273289
2019,9,16,월,ARP1,ARP3,L,L1734,A,21:40,Y,0.21964979
2019,9,16,월,ARP3,ARP1,L,L1734,D,20:30,Y,0.3323735
2019,9,16,월,ARP8,ARP3,L,L1902,A,8:55,N,0.7487788
2019,9,16,월,ARP3,ARP8,L,L1902,D,8:05,N,0.7329415
2019,9,16,월,ARP3,ARP6,J,J1955,D,10:05,N,0.542609
2019,9,16,월,ARP1,ARP3,L,L1708,A,11:10,N,0.6397648
2019,9,16,월,ARP3,ARP1,L,L1708,D,10:00,N,0.688795
2019,9,16,월,ARP3,ARP1,L,L1735,A,20:00,Y,0.33716434
2019,9,16,월,ARP1,ARP3,L,L1735,D,18:50,Y,0.32564908
2019,9,16,월,ARP3,ARP8,L,L1903,A,12:55,N,0.8954814
2019,9,16,월,ARP8,ARP3,L,L1903,D,12:10,N,0.56444454
2019,9,16,월,ARP3,ARP6,J,J1956,A,15:20,N,0.80613625
2019,9,16,월,ARP6,ARP3,J,J1956,D,14:15,N,0.5191859
2019,9,16,월,ARP1,ARP3,L,L1736,A,22:15,Y,0.24192667
2019,9,16,월,ARP3,ARP1,L,L1736,D,21:05,Y,0.22755027
2019,9,16,월,ARP8,ARP3,L,L1904,A,11:40,N,0.8496973
2019,9,16,월,ARP3,ARP8,L,L1904,D,10:50,N,0.72143924
2019,9,16,월,ARP6,ARP3,J,J1957,A,13:35,N,0.8552149
2019,9,16,월,ARP3,ARP6,J,J1957,D,12:30,Y,0.46440983
2019,9,16,월,ARP1,ARP3,L,L1710,A,12:15,N,0.8738807
2019,9,16,월,ARP3,ARP1,L,L1710,D,11:05,Y,0.31899542
2019,9,16,월,ARP3,ARP4,L,L1801,A,7:20,N,0.50686854
2019,9,16,월,ARP4,ARP3,L,L1801,D,6:20,N,0.7246523
2019,9,16,월,ARP1,ARP3,L,L1712,A,12:45,N,0.8738807
