,Unnamed: 0,SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,STT,DLY,DLY_RATE,STT_HOUR,QUARTER,AOD_0,AOD_1,STT_weight
0,0,0,0,0,3,0,1,0,1,84,0.0,0.63943964,3,0,1,0,0.08114035087719297
1,1,0,0,0,3,1,0,0,1,75,0.0,0.73658794,1,0,0,1,0.05482456140350877
2,2,0,0,0,3,5,1,0,19,28,0.0,0.6092973,8,0,1,0,0.07090643274853801
3,3,0,0,0,3,1,0,0,19,21,1.0,0.36988544,7,0,0,1,0.04312865497076023
4,4,0,0,0,3,2,1,0,43,60,1.0,0.39152765,14,0,1,0,0.04824561403508772
5,5,0,0,0,3,1,2,0,43,54,1.0,0.4548148,13,0,0,1,0.07529239766081873
0,6,0,0,0,3,7,12,0,165,65,0.0,0.741252,10,0,1,0,0.08064516129032258
1,7,0,0,0,3,12,7,0,165,54,0.0,0.5191859000000001,9,0,0,1,0.06384408602150538
6,8,0,0,0,3,1,0,0,2,78,0.0,0.5388801,2,0,1,0,0.07383040935672515
7,9,0,0,0,3,0,1,0,2,71,0.0,0.84738153,1,0,0,1,0.05482456140350877
8,10,0,0,0,3,1,2,0,44,62,1.0,0.44077218,14,0,1,0,0.04824561403508772
9,11,0,0,0,3,2,1,0,44,57,1.0,0.35933566,13,0,0,1,0.07529239766081873
10,12,0,0,0,3,1,0,0,30,55,0.0,0.6075549,13,0,1,0,0.07529239766081873
11,13,0,0,0,3,0,1,0,30,47,1.0,0.34399176,12,0,0,1,0.07675438596491227
2,14,0,0,0,3,12,7,0,166,47,0.0,0.8849263,8,0,1,0,0.06541218637992832
12,15,0,0,0,3,1,0,0,4,85,0.0,0.63705957,3,0,1,0,0.08114035087719297
13,16,0,0,0,3,0,1,0,4,79,0.0,0.7273289000000001,2,0,0,1,0.07383040935672515
14,17,0,0,0,3,0,1,0,31,63,1.0,0.2430641,15,0,1,0,0.038011695906432746
15,18,0,0,0,3,1,0,0,31,58,1.0,0.36094773,13,0,0,1,0.07529239766081873
16,19,0,0,0,3,2,1,0,45,66,1.0,0.3754953,16,0,1,0,0.017543859649122806
17,20,0,0,0,3,1,2,0,45,64,1.0,0.44315863,15,0,0,1,0.038011695906432746
3,21,0,0,0,3,7,12,0,166,36,0.0,0.55303764,7,0,0,1,0.07146057347670251
4,22,0,0,0,3,7,10,0,167,157,0.0,0.82992816,3,0,1,0,0.06025985663082437
5,23,0,0,0,3,10,7,0,167,146,0.0,0.65282595,2,0,0,1,0.06630824372759858
18,24,0,0,0,3,0,1,0,5,89,0.0,0.7040109999999999,3,0,1,0,0.08114035087719297
19,25,0,0,0,3,1,0,0,5,81,0.0,0.5989145,2,0,0,1,0.07383040935672515
20,26,0,0,0,3,1,0,0,32,57,0.0,0.58516943,13,0,1,0,0.07529239766081873
21,27,0,0,0,3,0,1,0,32,49,1.0,0.34037268,12,0,0,1,0.07675438596491227
22,28,0,0,0,3,1,4,0,46,3,0.0,0.7098549,4,0,1,0,0.06067251461988304
23,29,0,0,0,3,4,1,0,46,86,0.0,0.79681355,3,0,0,1,0.08114035087719297
6,30,0,0,0,3,10,7,0,168,12,0.0,0.77834785,5,0,1,0,0.07056451612903226
24,31,0,0,0,3,1,0,0,6,7,0.0,0.6208739000000001,4,0,1,0,0.06067251461988304
25,32,0,0,0,3,0,1,0,6,88,0.0,0.7273289000000001,3,0,0,1,0.08114035087719297
26,33,0,0,0,3,0,1,0,33,65,1.0,0.21964979,15,0,1,0,0.038011695906432746
27,34,0,0,0,3,1,0,0,33,61,1.0,0.3323735,14,0,0,1,0.04824561403508772
28,35,0,0,0,3,4,1,0,47,82,0.0,0.7487788000000001,2,0,1,0,0.07383040935672515
29,36,0,0,0,3,1,4,0,47,77,0.0,0.7329415,2,0,0,1,0.07383040935672515
7,37,0,0,0,3,7,10,0,168,1,0.0,0.542609,4,0,0,1,0.06541218637992832
30,38,0,0,0,3,0,1,0,7,9,0.0,0.6397648,5,0,1,0,0.07163742690058479
31,39,0,0,0,3,1,0,0,7,0,0.0,0.6887949999999999,4,0,0,1,0.06067251461988304
32,40,0,0,0,3,1,0,0,34,59,1.0,0.33716434,14,0,1,0,0.04824561403508772
33,41,0,0,0,3,0,1,0,34,51,1.0,0.32564908,12,0,0,1,0.07675438596491227
34,42,0,0,0,3,1,4,0,48,18,0.0,0.8954814,6,0,1,0,0.08260233918128655
35,43,0,0,0,3,4,1,0,48,14,0.0,0.56444454,6,0,0,1,0.08260233918128655
8,44,0,0,0,3,7,10,0,169,57,0.0,0.80613625,9,0,1,0,0.06384408602150538
9,45,0,0,0,3,10,7,0,169,45,0.0,0.5191859000000001,8,0,0,1,0.06541218637992832
36,46,0,0,0,3,0,1,0,35,67,1.0,0.24192667,16,0,1,0,0.017543859649122806
37,47,0,0,0,3,1,0,0,35,63,1.0,0.22755027,15,0,0,1,0.038011695906432746
38,48,0,0,0,3,4,1,0,49,11,0.0,0.8496973,5,0,1,0,0.07163742690058479
39,49,0,0,0,3,1,4,0,49,6,0.0,0.72143924,4,0,0,1,0.06067251461988304
10,50,0,0,0,3,10,7,0,170,38,0.0,0.8552148999999999,7,0,1,0,0.07146057347670251
11,51,0,0,0,3,7,10,0,170,27,1.0,0.46440983,6,0,0,1,0.058915770609319
40,52,0,0,0,3,0,1,0,9,15,0.0,0.8738806999999998,6,0,1,0,0.08260233918128655
41,53,0,0,0,3,1,0,0,9,8,1.0,0.31899542,5,0,0,1,0.07163742690058479
42,54,0,0,0,3,1,2,0,36,72,0.0,0.50686854,1,0,1,0,0.05482456140350877
43,55,0,0,0,3,2,1,0,36,68,0.0,0.7246523,0,0,0,1,0.03289473684210526
44,56,0,0,0,3,0,1,0,11,16,0.0,0.8738806999999998,6,0,1,0,0.08260233918128655
45,57,0,0,0,3,1,0,0,11,10,1.0,0.2904536,5,0,0,1,0.07163742690058479
46,58,0,0,0,3,0,1,0,21,36,1.0,0.3395424,10,0,1,0,0.0489766081871345
47,59,0,0,0,3,1,0,0,21,30,0.0,0.5972695,9,0,0,1,0.06578947368421052
48,60,0,0,0,3,2,1,0,37,85,0.0,0.68786466,3,0,1,0,0.08114035087719297
49,61,0,0,0,3,1,2,0,37,80,0.0,0.7174377,2,0,0,1,0.07383040935672515
50,62,0,0,0,3,1,4,0,50,42,1.0,0.4318384,11,0,1,0,0.0577485380116959
51,63,0,0,0,3,4,1,0,50,39,1.0,0.3185097,10,0,0,1,0.0489766081871345
12,64,0,0,0,3,10,7,0,172,72,0.0,0.8028003,10,0,1,0,0.08064516129032258
13,65,0,0,0,3,7,10,0,172,59,0.0,0.5713687,9,0,0,1,0.06384408602150538
52,66,0,0,0,3,1,0,0,12,18,0.0,0.8734527,6,0,1,0,0.08260233918128655
53,67,0,0,0,3,0,1,0,12,12,1.0,0.40933853,5,0,0,1,0.07163742690058479
54,68,0,0,0,3,1,0,0,22,33,0.0,0.6758648,9,0,1,0,0.06578947368421052
55,69,0,0,0,3,1,2,0,38,89,0.0,0.6634693,3,0,1,0,0.08114035087719297
56,70,0,0,0,3,2,1,0,38,82,0.0,0.7451209,2,0,0,1,0.07383040935672515
